tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;moonphase;weathercondition
19.1;1.1;11.0;19.1;1.1;11.0;1.6;57.7;0.0;0.0;0.0;;;;;37.1;242.8;1015.3;41.1;12.7;;;;;0.57;partly-cloudy-day
13.1;6.4;10.8;13.1;3.6;10.4;4.7;66.9;0.84;100.0;8.33;rain;;;;35.3;255.9;1010.4;71.6;13.1;;;;;0.6;rain
18.1;2.0;9.7;18.1;1.1;9.5;2.4;64.7;0.0;0.0;0.0;;;;;30.7;252.5;1013.0;29.3;11.9;;;;;0.63;partly-cloudy-day
24.7;3.1;14.1;24.7;2.9;14.0;3.5;53.9;1.527;100.0;4.17;rain;;;;29.5;225.0;1014.8;25.0;12.2;;;;;0.67;rain
28.1;12.1;19.2;26.8;12.1;19.1;3.1;37.0;0.0;0.0;0.0;;;;;42.5;242.1;1012.8;39.1;13.5;;;;;0.7;partly-cloudy-day
8.4;2.1;5.4;7.1;-2.9;1.8;0.7;72.6;0.3;100.0;4.17;rain;;;;46.4;242.2;1010.9;79.4;13.5;;;;;0.8;rain
13.8;-1.9;6.3;13.8;-1.9;6.1;-0.5;65.1;0.0;0.0;0.0;;;;;12.1;144.4;1020.7;67.9;12.5;;;;;0.84;partly-cloudy-day
20.8;1.1;11.6;20.8;-0.1;11.5;0.8;52.0;0.0;0.0;0.0;;;;;18.4;67.8;1020.2;49.2;11.3;;;;;0.87;partly-cloudy-day
26.6;6.1;15.8;26.6;6.1;15.8;2.2;46.0;0.0;0.0;0.0;;;;;25.9;154.5;1013.5;12.5;12.2;;;;;0.9;clear-day
25.3;5.1;15.5;25.3;2.9;15.3;2.4;46.6;0.0;0.0;0.0;;;;;26.0;165.4;1009.1;46.1;12.6;;;;;0.94;partly-cloudy-day
19.1;8.0;13.6;19.1;6.1;13.3;3.9;53.3;0.0;0.0;0.0;;;;;27.6;280.9;1007.3;16.3;13.0;;;;;0.97;clear-day
14.1;4.5;10.0;14.1;3.0;9.2;3.3;63.7;0.0;0.0;0.0;;;;;28.7;304.2;1007.2;62.6;12.6;;;;;0.0;partly-cloudy-day
12.9;6.1;9.0;12.9;4.5;8.4;5.1;77.2;0.473;100.0;8.33;rain;;;;21.2;228.4;1009.2;82.7;11.9;;;;;0.04;rain
14.1;3.1;8.7;14.1;3.1;8.6;4.5;76.0;0.06;100.0;4.17;rain;;;;14.1;263.5;1011.7;57.1;11.9;;;;;0.07;rain
11.6;5.1;8.3;11.6;2.5;7.2;2.7;69.0;0.0;0.0;0.0;;;;;22.3;250.0;1008.6;67.1;13.4;;;;;0.11;partly-cloudy-day
15.8;3.1;10.2;15.8;3.1;10.1;2.7;61.2;0.0;0.0;0.0;;;;;21.3;223.4;1007.7;65.7;12.9;;;;;0.14;partly-cloudy-day
17.6;3.1;10.9;17.6;3.1;10.8;3.4;63.4;0.024;100.0;4.17;rain;;;;20.5;260.6;1009.4;56.6;12.5;;;;;0.18;rain
18.7;3.7;11.5;18.7;1.8;11.3;4.2;64.4;0.024;100.0;4.17;rain;;;;24.7;262.2;1014.5;54.0;13.7;;;;;0.21;rain
16.8;6.1;11.0;16.8;6.1;11.0;5.7;71.0;1.0;100.0;4.17;rain;;;;27.7;31.0;1012.9;62.0;13.5;;;;;0.24;rain
19.2;7.2;12.1;19.2;5.8;11.8;6.6;70.8;0.882;100.0;8.33;rain;;;;25.9;46.2;1008.4;51.4;12.8;;;;;0.25;rain
21.7;5.1;13.9;21.7;5.1;13.9;6.7;64.2;0.0;0.0;0.0;;;;;40.5;219.6;1009.9;69.1;13.2;;;;;0.31;partly-cloudy-day
20.0;6.8;13.8;20.0;6.5;13.6;7.7;67.7;0.472;100.0;8.33;rain;;;;50.4;250.0;1006.5;50.3;12.8;;;;;0.35;rain
16.5;0.1;8.2;16.5;-3.1;7.5;-0.9;57.5;0.0;0.0;0.0;;;;;24.1;311.3;1011.0;19.1;13.1;;;;;0.38;clear-day
17.3;0.1;10.1;17.3;0.1;9.9;-1.7;48.0;0.0;0.0;0.0;;;;;18.4;304.4;1013.5;23.3;13.7;;;;;0.42;partly-cloudy-day
21.6;2.1;11.6;21.6;2.1;11.6;0.8;52.4;0.0;0.0;0.0;;;;;14.8;222.7;1011.9;25.5;12.8;;;;;0.45;partly-cloudy-day
20.6;3.1;14.0;20.6;3.1;13.9;3.9;54.4;0.0;0.0;0.0;;;;;28.2;256.6;1010.2;63.1;12.9;;;;;0.5;partly-cloudy-day
21.1;9.1;14.8;21.1;8.6;14.8;7.6;63.4;0.0;0.0;0.0;;;;;34.4;91.3;1011.0;53.4;11.9;;;;;0.52;partly-cloudy-day
21.2;7.1;15.4;21.2;7.1;15.4;7.9;63.1;0.0;0.0;0.0;;;;;22.3;150.9;1014.0;75.5;17.5;;;;;0.55;partly-cloudy-day
29.0;9.1;19.1;28.3;9.1;18.9;8.7;56.5;0.0;0.0;0.0;;;;;24.0;207.7;1013.3;45.0;13.1;;;;;0.58;partly-cloudy-day
28.1;11.1;20.1;27.1;11.1;20.0;8.7;50.5;0.0;0.0;0.0;;;;;14.4;183.9;1015.2;34.7;13.6;;;;;0.62;partly-cloudy-day
28.9;12.3;20.6;27.9;12.3;20.5;10.7;55.9;0.0;0.0;0.0;;;;;45.0;153.6;1012.4;48.5;13.0;;;;;0.65;partly-cloudy-day
27.0;9.9;18.4;26.8;9.9;18.4;10.6;63.6;1.473;100.0;4.17;rain;;;;16.6;132.4;1009.0;42.1;12.7;;;;;0.68;rain
26.4;12.1;19.5;26.4;12.1;19.5;9.8;55.9;0.0;0.0;0.0;;;;;29.5;105.2;1007.7;61.0;13.7;;;;;0.75;partly-cloudy-day
25.6;10.1;17.1;25.6;10.1;17.1;8.4;59.5;0.0;0.0;0.0;;;;;22.3;207.8;1012.8;40.6;13.4;;;;;0.75;partly-cloudy-day
25.8;13.4;18.4;25.8;13.4;18.4;9.6;57.6;0.65;100.0;4.17;rain;;;;26.2;64.7;1012.6;62.1;13.1;;;;;0.78;rain
23.1;11.1;16.8;23.1;11.1;16.8;10.9;69.8;1.419;100.0;4.17;rain;;;;29.9;46.2;1011.6;74.6;13.4;;;;;0.82;rain
17.9;13.1;15.4;17.9;13.1;15.4;12.5;83.1;1.253;100.0;8.33;rain;;;;14.4;140.7;1009.6;78.9;12.9;;;;;0.85;rain
24.1;12.2;17.1;24.1;12.2;17.1;11.6;72.1;0.071;100.0;4.17;rain;;;;29.5;9.7;1010.9;55.9;13.1;;;;;0.88;rain
25.4;9.1;17.6;25.4;9.1;17.6;10.5;66.3;0.0;0.0;0.0;;;;;18.4;257.4;1015.4;47.6;12.5;;;;;0.92;partly-cloudy-day
24.4;10.2;18.0;24.4;10.2;18.0;9.4;61.4;0.0;0.0;0.0;;;;;29.5;267.2;1015.4;47.3;13.6;;;;;0.95;partly-cloudy-day
22.1;10.1;16.0;22.1;10.1;16.0;9.8;68.4;0.0;0.0;0.0;;;;;24.8;308.2;1015.3;59.3;13.6;;;;;0.98;partly-cloudy-day
23.0;8.1;15.4;23.0;6.8;15.3;8.5;66.3;0.0;0.0;0.0;;;;;28.3;300.7;1014.6;44.8;12.7;;;;;0.0;partly-cloudy-day
23.6;7.1;15.9;23.6;7.1;15.8;7.5;60.6;0.0;0.0;0.0;;;;;14.2;307.9;1012.0;33.6;12.1;;;;;0.05;partly-cloudy-day
26.5;8.0;17.3;26.5;8.0;17.3;8.5;60.3;0.0;0.0;0.0;;;;;33.5;230.0;1009.5;34.1;12.2;;;;;0.09;partly-cloudy-day
26.8;10.1;18.6;26.2;10.1;18.5;9.7;59.4;0.147;100.0;4.17;rain;;;;29.5;217.0;1009.9;41.7;12.9;;;;;0.12;rain
25.8;11.5;18.6;25.8;11.5;18.6;9.7;58.5;0.0;0.0;0.0;;;;;25.5;310.7;1011.0;53.4;13.1;;;;;0.16;partly-cloudy-day
25.9;11.0;18.9;25.9;11.0;18.9;9.2;56.5;0.0;0.0;0.0;;;;;29.5;10.7;1013.5;28.6;13.1;;;;;0.19;partly-cloudy-day
24.3;8.1;17.0;24.3;8.1;17.0;6.3;52.7;0.0;0.0;0.0;;;;;16.6;13.0;1013.7;19.4;13.5;;;;;0.23;clear-day
25.1;8.1;16.0;25.1;7.3;15.9;8.7;63.6;0.0;0.0;0.0;;;;;23.8;32.3;1010.3;42.7;13.2;;;;;0.25;partly-cloudy-day
23.5;10.4;16.7;23.5;10.4;16.7;10.7;70.1;0.244;100.0;4.17;rain;;;;37.1;27.8;1006.7;56.3;13.0;;;;;0.3;rain
16.5;11.7;13.9;16.5;11.7;13.9;10.4;79.4;13.0;100.0;8.33;rain;;;;27.8;296.3;1007.6;79.4;11.8;;;;;0.33;rain
21.3;12.1;15.8;21.3;12.1;15.8;8.6;64.4;0.0;0.0;0.0;;;;;18.4;286.6;1012.3;60.6;13.4;;;;;0.37;partly-cloudy-day
23.2;7.1;15.0;23.2;7.1;15.0;8.4;68.3;0.0;0.0;0.0;;;;;34.0;270.8;1013.4;51.2;12.0;;;;;0.4;partly-cloudy-day
24.9;12.1;17.7;24.9;12.1;17.7;9.4;62.6;0.0;0.0;0.0;;;;;17.9;334.9;1012.9;51.0;13.7;;;;;0.44;partly-cloudy-day
